料號;TAG3;TAG9;TAG10;TAG4;TAG8;TAG5
600000099;Y軸走線固定座;Fixed seat;;2t SUS;RAL 7021;600000099
600000100;線槽盒蓋板;Cover;;2t SPCC;RAL 7021;600000100
600000101;線槽盒;Cabinet assy;;2t SPCC;RAL7021;600000101
600000102;懸臂蓋板（三）;Cover plate（三）;;2t SPCC;RAL 7021;600000102
600000103;懸臂蓋板（二）;Cover plate（二）;;2t SPCC;RAL 7021;600000103
600000104;懸臂蓋板（一）;Cover plate（一）;;2t SPCC;RAL 7021;600000104
600000105;懸臂;Cantilever;;2t SPCC;;600000105
600000106;;;;;;600000106
600000107;左後護蓋;;;2t SPCC;RAL 7021;600000107
600000108;左後護蓋固定架;Fixed rack;;3t SPCC;RAL 7021;600000108
600000109;左護罩;Left cover;;2t SPCC;RAL 7021;600000109
600000110;左護罩蓋板;Cover plate;;2t SPCC;RAL 7021;600000110
600000111;右護罩;Right shield;;2t SPCC;RAL 7021;600000111
600000112;右護罩蓋板（一）;Cover plate;;2t SPCC;RAL 7021;600000112
600000113;右護罩蓋板（二）;Cover plate（二）;;2t SPCC;RAL 7021;600000113
600000114;;;;;;600000114
600000115;懸臂線槽;Cantilever slot;;2t SPCC;RAL 7021;600000115
600000116;懸臂線槽蓋板;Cover plate;;2t SPCC;RAL 7021;600000116
600000117;上橫桿;;;;;600000117
600000118;上掀遮蓋;;;;;600000118
600000119;操作箱(828D);Oprarion box;;2tSPCC;RAL 7021;600000119
600000120;;;;;;600000120
600000121;右護罩;Right Guard Cover;;2tSPCC;RAL 9002;600000121
600000122;左護罩;Left Guard Cover;;2tSPCC;RAL 9002;600000122
600000123;左前門;Left door;;2tSPCC;RAL 7021;600000123
600000124;右前門;Right front door;;2tSPCC;RAL 7021;600000124
600000125;左側窗;Left window;;2tSPCC;RAL 7021;600000125
600000126;右側窗;Right window;;2tSPCC;RAL 7021;600000126
600000127;操作箱出貨固定架;Plate;;5tSPCC;橘色;600000127
600000128;前門耐力板(CE);Front door PC plate;;;;600000128
600000129;前門壓板(CE);Plate;;;RAL7021;600000129
600000130;側窗耐力板(CE);PC plate;;;;600000130
600000131;壓板;;;5t SPCC;RAL7021;600000131
600000132;後防護罩;Cover;;2t SPCC;RAL 7021;600000132
600000133;壓板;;;5t SPCC;RAL7021;600000133
600000134;全密式鈑金上蓋(左);;;;RAL9002;600000134
600000135;全密式鈑金上蓋(右);;;;RAL9002;600000135
600000136;Interlock開關護蓋;Seat cover;;2t SPCC;RAL 7021;600000136
600000137;前端箱架墊片;;;橡膠;;600000137
600000138;墊片;Fixed;;;RAL7021;600000138
600000139;前門出貨固定架;Door fixed;;3tSPCC;橘色;600000139
600000140;側沖防屑罩;Chip cover;;2tSPCC;RAL 9002;600000140
600000141;X軸原點標示支架;Bracket;;2tSPCC;RAL 9002;600000141
600000142;;;;;;600000142
600000143;側窗;;;2t SPCC;RAL 9002;600000143
600000144;側窗擋水板（一）;;;2t SPCC;RAL 9002;600000144
600000145;側窗擋水板（二）;;;2t SPCC;RAL 9002;600000145
600000146;前端箱架;;;2t spcc;RAL 7021;600000146
600000147;刀庫封板一;;;2t spcc;RAL 9002;600000147
600000148;刀庫封板二;;;2t spcc;RAL 9002;600000148
600000149;Y軸走線支架;;;SUS;;600000149
600000150;Y軸走線支架固定座;;;SUS;;600000150
600000151;;;;;;600000151
600000152;;;;;;600000152
600000153;左護罩;;;2t SPCC;RAL 9002;600000153
600000154;右護罩;;;2t SPCC;RAL 9002;600000154
600000155;左側罩;;;2t spcc;RAL 9002;600000155
600000156;右側罩;;;2t spcc;RAL 9002;600000156
600000157;左後護蓋;;;2t spcc;;600000157
600000158;左後箱架蓋鈑;;;2t spcc;RAL 7021;600000158
600000159;右後箱架蓋鈑;;;2t spcc;RAL 7021;600000159
600000160;懸臂;;;2t spcc;RAL 9002;600000160
600000161;擋屑板;;;2t spcc;RAL 7021;600000161
600000162;Y前防屑板（一）;;;2t spcc;RAL 7021;600000162
600000163;Y前防屑板（二）;;;2t spcc;RAL 7021;600000163
600000164;Y前防屑板（三）;;;2t spcc;RAL 7021;600000164
600000165;線軌防屑板（一）;;;2t spcc;RAL 7021;600000165
600000166;線軌防屑板（二）;;;2t spcc;RAL 7021;600000166
600000167;后防護罩;;;2t spcc;RAL 7021;600000167
600000168;防屑罩支架;;;2t spcc;RAL 7021;600000168
600000169;右上蓋板;;;2t SPCC;RAL 9002;600000169
600000170;前上蓋板;;;2t SPCC;RAL 9002;600000170
600000171;左上蓋板;;;2t SPCC;RAL 9002;600000171
600000172;刀庫罩;;;2t SPCC;RAL 9002;600000172
600000173;刀庫罩蓋板;;;2t SPCC;RAL 9002;600000173
600000174;Y前防屑板一;;;2T SPCC;RAL 7021;600000174
600000175;Y前防屑板二;;;2T SPCC;RAL 7021;600000175
600000176;Y前防屑板三;;;2T SPCC;RAL 7021;600000176
600000177;;;;;;600000177
600000178;;;;;;600000178
600000179;;;;;;600000179
600000180;;;;;;600000180
600000181;;;;;;600000181
600000182;;;;;;600000182
600000183;;;;;;600000183
600000184;;;;;;600000184
600000185;;;;;;600000185
600000186;;;;;;600000186
600000187;;;;;;600000187
600000188;;;;;;600000188
600000189;;;;;;600000189
600000190;;;;;;600000190
600000191;;;;;;600000191
600000192;;;;;;600000192
600000193;;;;;;600000193
600000194;;;;;;600000194
600000195;;;;;;600000195
600000196;;;;;;600000196
600000197;;;;;;600000197
600000198;;;;;;600000198
600000199;;;;;;600000199
600000200;;;;;;600000200
600000201;;;;;;600000201
600100001;主軸馬達動平衡治具;Fixture;;S45C;;600100001
600100002;Z軸伸縮護罩墊板;Plate;;5t SPCC;鍍鋅;600100002
600100003;前端線盒;Cover;;3tSPCC;蘋果綠;600100003
600100004;底蓋蓋板;Cover plate;;2t SPCC;噴漆 RAL7021;600100004
600100005;底蓋;Low cover;;2t SPCC;噴漆 RAL7021;600100005
600100006;主軸頭護罩支架;Support;;2t SPCC;噴漆 RAL7021;600100006
600100007;主軸頭右蓋板;Right cover;;2t SPCC;RAL7021;600100007
600100008;主軸頭左側蓋;Left cover;;2t SPCC;RAL 7021;600100008
600100009;主軸頭前蓋板;Front cover;;2t SPCC;RAL 7021;600100009
600100010;馬達轉接板;Adapter;280*280*20/G/T0156A;S45C;染黑;600100010
600100011;BT-40主軸頭（木型圖）;Spindle head;;FC300;;600100011
600100012;主軸頭（加工圖）;Splindle head;;;;600100012
600100013;;;;;;600100013
600100014;;;;;;600100014
600100015;;;;;;600100015
600100016;;;;;;600100016
600100017;;;;;;600100017
600100018;;;;;;600100018
600110001;BT-50齒輪式主軸頭(木型圖);Splindle Head;CPV-2200B;;;600110001
600110002;BT-50齒輪式主軸頭(加工圖);Splindle Head;CPV-2200B;FC300;;600110002
600110002-1;BT-50齒輪式主軸頭(加工圖);Splindle Head;CPV-2200B;FC300;;600110002-1
600110002A;BT-50齒輪式主軸頭(加工圖);Splindle Head;CPV-2200B;FC300;RAL 7021;600110002A
600110002A-1;BT-50齒輪式主軸頭(加工圖);Splindle Head;CPV-2200B;FC300;RAL 7021;600110002A-1
600110003;底蓋(齒輪頭用);Low cover;;;RAL7021;600110003
600110004;主軸頭護罩(齒輪頭用);Spindle head Cover;;;RAL 7021;600110004
600110004A;主軸頭護罩(齒輪頭用);Spindle head Cover;;;RAL 7021;600110004A
600110005;主軸頭上蓋(齒輪頭用);Top cover;;;RAL 7021;600110005
600110006;BT-50皮帶式主軸頭(加工圖);Splindle head;;FC300;RAL7021;600110006
600110007;齒輪;Gear;Gear;SCM415;;600110007
600110007A;齒輪;Gear;Gear;SCM415;;600110007A
600110008;定位螺栓;Screw;六角M14*115L;S45C;;600110008
600110009;底蓋(皮帶頭用);Low cover;;2tSPCC;RAL7021;600110009
600110010;主軸頭護罩(皮帶頭用);Spindle head cover;;2tSPCC;RAL7021;600110010
600110011;主軸定位座;Seat;;3tSPCC;染黑;600110011
600110012;馬達皮帶輪;Motor pulley;P60-8YU-35-φ55/G(有鍵);S45C;染黑;600110012
600110013;馬達皮帶輪;Motor Pulley;P60-8YU-35-φ48(有鍵)(PD152.79);S45C;染黑;600110013
600110014;Z軸刮刷片(一);Fixed;;;;600110014
600110015;Z軸刮刷片(二);Fixed;;;;600110015
600110016;Z軸刮刷片(三);Fixed;;;;600110016
600110017;Z軸刮刷板(四);Fixed;;鋁+橡膠;;600110017
600110018;;;;;;600110018
600200001;防撞塊;Fixed;120Φ*60-PU;PU;;600200001
600200002;X軸伸縮護罩(左);X axis guard;;;;600200002
600200003;X軸伸縮護罩(右);X-axis guard;;;;600200003
600200004;工作台(木型圖);Table;CPV-2200B;;;600200004
600200005;工作台(加工圖);Table;CPV-2200B;;;600200005
600200006;防撞塊;Fixed;120Φ*108-PU;;;600200006
600200007;馬達連接板;Motor Fixed;;;;600200007
600200008;微動開關座(X軸);Fixed;;;;600200008
600200009;X軸馬達護蓋;X axis motor cover;2200B;;;600200009
600200012;Y軸原點標示支架（一）;Bracket;;2tSPCC;RAL 9002;600200012
600200013;Y軸原點標示支架（二）;Bracket;;2tSPCC;RAL 9002;600200013
600200014;X軸馬達護蓋;X axis motor cover;;2tSPCC;RAL 7021;600200014
600200015;傳動座蓋板;Cover;2tSPCC;;RAL 7021;600200015
600200016;X軸伸縮護罩;;;;;600200016
600200017;工作台（木型圖）;;;FC 300;;600200017
600200018;工作台（加工圖）;;;FC300;;600200018
600200019;鞍座（木型圖）;Saddle;;FC 300;;600200019
600200020;鞍座（加工圖）;Saddle;;FC 300;;600200020
600200021;X軸伸縮護罩;;;;;600200021
600200022;X軸馬達護蓋;;;2t spcc;RAL 7021;600200022
600200023;X軸防屑板（前）;;;2t spcc;RAL 7021;600200023
600200024;X軸防屑板（後）;;;2t spcc;RAL 7021;600200024
600200025;線軌防屑板（前）;;;2t spcc;RAL 7021;600200025
600200026;線軌防屑板（后）;;;2t spcc;RAL 7021;600200026
600200027;防撞塊;Fixed;;優力膠;;600200027
600200028;防撞塊;Fixed;;優力膠;;600200028
600200029;X軸馬達護罩;;;2t SPCC;RAL 7021;600200029
600200030;工作台（木型圖）;Table(pattern);;FC300;噴漆RAL 7021;600200030
600200031;CPV-2200工作台;Table;;FC300;RAL 7021;600200031
600200032;X軸防屑罩;X-AXIS GUARD;;;;600200032
600200033;;;;;;600200033
600200034;;;;;;600200034
600210001;X軸滾珠螺桿;X axis ballscrew;1R63-10T5-FDDC-2498-2913-0.008;;;600210001
600210002;X軸支架(一);Bracket;700*110*80;FC300;;600210002
600210002-1;X軸支架(一);Bracket;700*110*80;FC300;;600210002-1
600210003;X軸支架(二);Bracket;700*110*80;FC300;;600210003
600210003-1;X軸支架(二);Bracket;700*110*80;FC300;;600210003-1
600210004;防撞塊;Fixed;92*25*25-PE;白色工程橡膠;;600210004
600210005;工作台壓板(左);Clamping Plate;850*121*45;FC300;;600210005
600210006;工作台壓板(右);Clamping Plate;850*121*45;FC300;;600210006
600210007;工作台斜楔(底);Gib;950*38*29.5;FC300;;600210007
600210008;工作台斜楔(側);Gib;1115*38*26.5;FC300;;600210008
600210009;X軸光學尺護蓋;Cover;;;RAL7021;600210009
600210010;防屑罩(後);Cover;;;RAL7021;600210010
600210011;防屑板;Plate;;;RAL7021;600210011
600210012;防屑板;Plate;;;RAL7021;600210012
600210013;螺帽座(木型);Nut seat;;;;600210013
600210014;螺帽座(加工);Nut seat;;FC300;RAL 7021;600210014
600210014-1;螺帽座(加工);Nut seat;;FC300;RAL 7021;600210014-1
600210015;可用料號;;;;;600210015
600210016;可用料號;;;;;600210016
600210017;X軸光學尺護蓋;Cover;;;;600210017
600210018;微動開關座(X軸);Fixed;;;;600210018
600210019;防屑蓋板;Cover;;;RAL7021;600210019
600210022;;;;;;600210022
600300001;Y前伸縮護罩;Y axis guard;CPV-2200B;;;600300001
600300002;鞍座(木型圖);Saddle;CPV-2200B;;;600300002
600300003;鞍座(加工圖);Saddle;CPV-2200B;FC300;;600300003
600300003-1;鞍座(加工圖);Saddle;CPV-2200B;FC300;;600300003-1
600300003-2;鞍座(加工圖);Saddle;CPV-2200B;FC300;;600300003-2
600300004;底座(木型圖);Base;CPV-2200B;;;600300004
600300005;底座(加工圖);Base;CPV-2200B;;;600300005
600300006;Y後伸縮護罩;Y axis guard;CPV-2200B;;;600300006
600300007;Y前副軌伸縮護罩;Y axis guard;CPV-2200B;;;600300007
600300007A;Y前副軌伸縮護罩;Y axis guard;CPV-2200B/配合滾珠與滾柱線軌。;;;600300007A
600300008;Y後副軌伸縮護罩;Y axis guard;CPV-2200B;;;600300008
600300008A;Y後副軌伸縮護罩;Y axis guard;CPV-2200B/配合滾珠與滾柱線軌。;;;600300008A
600300009;防撞塊;Fixed;115Φ*63-PU;;;600300009
600300010;;;;;;600300010
600300011;CPV-2200B底座(加工圖/配滾柱線軌);Base;輔助軌配合滾柱線軌。;;;600300011
600300012;CPV-2200B鞍座(加工圖/配合滾柱線軌);Saddle;輔助軌配合滾柱線軌。;;;600300012
600300012-1;CPV-2200B鞍座(加工圖/配合滾柱線軌);Saddle;輔助軌配合滾柱線軌。;;;600300012-1
600300012-2;CPV-2200B鞍座(加工圖/配合滾柱線軌);Saddle;輔助軌配合滾柱線軌。;;;600300012-2
600300013;線軌左防屑板;Line rail left cover;;2t SPCC;RAL7021;600300013
600300014;線軌右防屑板;Line rail right cover;;2t SPCC;RAL7021;600300014
600300015;左擋屑板;Left baffle;;2t SPCC;RAL7021;600300015
600300016;右擋屑板;Right baffle;;2t SPCC;RAL9002;600300016
600300017;線軌防屑板;Line rail cover;;2t SPCC;RAL7021;600300017
600300018;;;;;;600300018
600300019;Y前伸縮護罩;;;;;600300019
600300020;底座（加工圖）;;;FC300;;600300020
600300021;Y前伸縮護罩;;;;;600300021
600300022;Y後伸縮護罩;;;;;600300022
600300023;Y前副軌伸縮護罩;;;;;600300023
600300024;Y後副軌伸縮護罩;;;;;600300024
600300025;Y軸光學尺護蓋;;;2t SPCC;;600300025
600300026;Y軸光學尺支架;;;2t SPCC;;600300026
600300027;Y軸讀頭座;;;;;600300027
600300028;;;;;;600300028
600300029;;;;;;600300029
600300030;Y軸防屑板;;;2t spcc;RAL 7021;600300030
600300031;Y軸防屑板（右）;;;2t spcc;RAL 7021;600300031
600300032;Y軸防屑板（左）;;;2t spcc;RAL 7021;600300032
600300033;支架;;;SS400;;600300033
600300034;支架;;;SS400;;600300034
600300035;Y軸讀頭座;;;SS400;;600300035
600300036;防撞塊;Fixed;;白色工程橡膠;;600300036
600300037;防撞塊;Fixed;;優力膠;;600300037
600300038;底座（加工圖）;Base;CPV-2200A後排底座;FC300;RAL 7021;600300038
600310001;Y軸滾珠螺桿;Y axis ballscrew;1R63-10T5-FDDC-1566-2256.5-0.008;;;600310001
600310002;Y軸支架(中);Bracket;305.5*130*50;FC300;;600310002
600310002-1;Y軸支架(中);Bracket;305.5*130*50;FC300;;600310002-1
600310003;Y軸支架(右);Bracket;305.5*180*68;FC300;;600310003
600310003-1;Y軸支架(右);Bracket;305.5*180*68;FC300;;600310003-1
600310004;Y軸支架(左);Bracket;305.5*180*68;FC300;;600310004
600310004-1;Y軸支架(左);Bracket;305.5*180*68;FC300;;600310004-1
600310005;Y軸刮刷片(一);Fixed;197*71*5t;;;600310005
600310006;Y軸刮刷片(二);Fixed;197*71*5t;;;600310006
600310007;Y軸刮刷片(三);Fixed;197*89*5t;;;600310007
600310008;Y軸刮刷片(四);Fixed;197*89*5t;;;600310008
600310009;支架;Bracket;386.5*45*36;;;600310009
600310010;防屑板(一);Cover;;;RAL7021;600310010
600310011;防屑板(二);Cover;2011*100*2t;;RAL7021;600310011
600310012;防屑板(三);Cover;;;RAL7021;600310012
600310013;Y軸讀頭座;Fixed;;;;600310013
600310014;Y軸光學尺護蓋;Cover;;;噴漆 RAL7021;600310014
600310015;防屑板;Plate;;;;600310015
600310016;封蓋;Plate;160*170*4t;;RAL7021;600310016
600310017;鞍座壓板(右);Clamping Plate;785*105*45;FC300;噴漆RQL7021;600310017
600310018;鞍座壓板(左);Clamping Plate;785*105*45;FC300;;600310018
600310019;調整楔固定塊;Fixed;43*42*20;S45C;染黑;600310019
600310020;斜楔刮刷板;Fixed;42*30*5t;鋁+橡膠;;600310020
600310021;鞍座斜楔;Gib;860*42*24;FC300;;600310021
600310022;鞍座斜楔(中);Gib;860*38*24;FC300;;600310022
600310023;螺旋保護蓋;Plate;;3tSPCC;RAL7021;600310023
600310024;墊塊;Block;120*80*7.2/G/;S45C;;600310024
600310026;左固定板;Plate;;5tSPCC;RAL 9002;600310026
600310027;右固定板;Plate;;5tSPCC;RAL 9002;600310027
600310028;擋屑板（一）;Plate;;2tSPCC;RAL 9002;600310028
600310029;擋屑板（二）;Plate;;2tSPCC;RAL 9002;600310029
600310030;前防屑板（一）;Plate;;2tSPCC;RAL 9002;600310030
600310031;前擋屑板（二）;Plate;;2tSPCC;RAL 9002;600310031
600310032;前擋屑板（三）;Plate;;2tSPCC;RAL 9002;600310032
600400001;;;;;;600400001
600500001;;;;;;600500001
600500002;;;;;;600500002
600500003;介面座;;CPV-2200B 德仕刀庫用 BT50-24;;;600500003
600500004;刀庫下護蓋;;;;;600500004
600500005;;;;;;600500005
600500006;;;;;;600500006
600500007;;;;;;600500007
600500008;;;;;;600500008
600500009;;;;;;600500009
600500010;;;;;;600500010
600500011;;;;;;600500011
600600001;Z軸伸縮護罩;Z axis guard;;;;600600001
600600002;防撞塊;Fixed;105Φ*65-PU;PU;;600600002
600600003;防撞塊;Fixed;115Φ*95-PU;PU;;600600003
600600004;立柱上蓋;Cover;;;RAL7021;600600004
600600005;;;;;;600600005
600600006;;;;;;600600006
600600007;Z軸伸縮護罩支架(一);Fixed;;4t SPCC;染黑;600600007
600600008;Z軸伸縮護罩支架(二);Fixed;;4t SPCC;染黑;600600008
600600009;平衡塊（木型圖）;Blance block;;FC 300;;600600009
600600010;平衡塊（加工圖）;Blance block;;FC 300;;600600010
600600011;;;;;;600600011
600600012;;;;;;600600012
600600013;;;;;;600600013
600600014;;;;;;600600014
600600015;;;;;;600600015
600600016;;;;;;600600016
600610001;Z軸滾珠螺桿;Z axis ballscrew;1R50-10T5-FDDC-1142-1484-0.008;;;600610001
600610002;BT-50硬軌立柱(木型圖);Column;CPV-2200B;;;600610002
600610003;BT-50硬軌立柱(加工圖);Column;CPV-2200B;;;600610003
600610004;引導桿;Fixed rod balance;;;紅底漆;600610004
600610005;固定板;Fixed;;;紅底漆;600610005
600610006;配重擔架;Blance block of bracket;CPV-2200B;;;600610006
600610007;平衡塊(木型圖);Blance block;;;;600610007
600610008;平衡塊(加工圖);BT-50 Blance block;;;;600610008
600610009;碰塊座;Dog Seat;;;;600610009
600610010;讀頭座;Fixed;116*83*10;;;600610010
600610011;Z軸光學尺護蓋;Cover;;;;600610011
600610012;前端線盒;Cover;;3tSPCC;RAL7021;600610012
600610013;後端線盒;Cover;;2tSPCC;RAL7021;600610013
600610014;立柱墊高塊(加高200mm);Column Seat;木型與加工圖共用。;FC300;噴漆 RAL 7021;600610014
600610015;後端線盒;Rear terminal box;立柱墊高200mm，電氣箱標準高用。;2t SPCC;蘋果綠;600610015
600610016;後端線盒遮鈑;Cover;立柱墊高200mm，電氣箱標準高用。;SPCC;;600610016
600700001;電氣箱;Electrical cabinet;;;;600700001
600700001A;電氣箱(CPV-2200B);Electrical cabinet;;;RAL7021;600700001A
600700002;電氣箱前門;Front door of eleatrical cabinet;;;;600700002
600700003;電氣箱側門;Right door;;;RAL7021;600700003
600700004;OPT多領的空號;;;SPCC;;600700004
600700005;OPT多領的空號;;;SPCC;;600700005
600700006;OPT多領的空號;;;SPCC;;600700006
600700007;轉接板;Pinboard;;8t SPCC;噴漆 RAL7021;600700007
600700008;電氣箱;Electrical cabinet;;2t SPCC;RAL 9002;600700008
600700009;電氣箱前門;Front door of eleatrical cabinet;;2tSPCC;RAL 7021;600700009
600700010;電氣箱出線口遮蓋;Cover;;2tSPCC;RAL 9002;600700010
600700011;電氣箱固定墊片;plate;;3tSPCC;RAL 9002;600700011
600800001;CPV-2200B機種銘牌;CPV-2200B Mark;;1.0t 不銹鋼鈑;;600800001
600800002;搬運貼紙(中)25-TON;TRANSPORTATION MARK;;0.5t PVC貼紙;;600800002
600800003;CPV-2200B 機種銘牌;CPV-2200B Mark;;1.0t 不鏽鋼鈑;;600800003
600800004;建議用油貼紙(簡中);RECOMMENDED OIL MARK;;1.0t 鋁板;;600800004
600800005;搬運貼紙(英)25-TON;TRANSPORTATION MARK;;0.5t PVC貼紙;;600800005
600800006;搬運貼紙(德)25-TON;TRANSPORTATION MARK;;;;600800006
600800007;切削液泵浦三貼紙(德);;;;;600800007
600800008;;;;;;600800008
600800009;CPV-2100B 機種銘牌;CPV-2100B Mark;;1.0t 不鏽鋼鈑;;600800009
600800010;CPV-2200機種銘牌;CPV-2200 Mark;;1.0t 不銹鋼鈑;;600800010
600900001;Y軸出貨固定架;Fixed;;8tSPCC;噴橘色漆;600900001
600900002;吊架;Hanger;230*150*190-焊接件;SS400;橘色漆;600900002
600900003;X軸出貨固定架;Fixed;;5tSPCC;噴橘色漆;600900003
600900004;出貨固定桿;Fixed;;SPCC;噴橘色漆;600900004
600900005;主水箱(排屑機);Coolant tank;;2tSPCC;RAL7021;600900005
600900005A;主水箱(排屑機);Coolant tank;;2tSPCC;RAL7021;600900005A
600900006;副水箱(排屑機);Water tank;;2tSPCC;RAL7021;600900006
600900006A;副水箱(排屑機);Water tank;溢流式/配合離心式泵浦。;2tSPCC;RAL7021;600900006A
600900007;上蓋;Cover;;2tSPCC;噴漆 RAL7021;600900007
600900008;接屑盒;Chip box;搭配副水箱600900006。;2tSPCC;染黑;600900008
600900009;導槽;Cover;;2tSPCC;RAL7021;600900009
600900010;泵浦介面鈑;Cover;配合600900011;SPCC;RAL7021;600900010
600900011;副水箱(溢流式/配合沉水式泵浦);Coolant tank;同大陸料號SF-09086/溢流式/配合沉水式泵浦。;SPCC;;600900011
600900012;接屑盒;Chip box;搭配副水箱(沉水式泵浦)600900011。;;;600900012
600900013;副水箱蓋鈑;Cover;搭配副水箱(沉水式泵浦)600900011。;SPCC;;600900013
600900014;出貨固定座;Transstion seat;;6tSPCC;噴橘色漆;600900014
600900015;主水箱;Main tank;;2t SPCC;RAL 7021;600900015
600900016;主水箱蓋板（一）;Cover;;2t SPCC;RAL 7021;600900016
600900017;主水箱蓋板（二）;Cover;;2t SPCC;RAL 7021;600900017
600900018;主水箱蓋板（三）;Cover;;2t SPCC;RAL 7021;600900018
600900019;主水箱蓋板（四）;Cover;;2t SPCC;RAL 7021;600900019
600900020;主水箱蓋板（五）;Cover;;2t SPCC;RAL 7021;600900020
600900021;擋水槽(一）;Baffle;;2t SPCC;RAL 7021;600900021
600900022;擋水槽（二）;Baffle;;2t SPCC;RAL 7021;600900022
600900023;副水箱;Auxiliary tank;;2t SPCC;RAL 7021;600900023
600900024;泵浦固定板;Plate;;2t SPCC;RAL 7021;600900024
600900025;油水分離機固定板;Plate;;2t SPCC;RAL 7021;600900025
600900026;過濾槽;Filter tank;;2t SPCC;RAL 7021;600900026
600900027;過濾網;Filter screen;;2t SPCC;RAL 7021;600900027
600900028;副水箱蓋板（一）;Cover;;2t SPCC;RAL 7021;600900028
600900029;副水箱蓋板（二）;Cover;;2t SPCC;RAL 7021;600900029
600900030;泵浦固定座;Fixed seat;;2t SPCC;RAL 7021;600900030
600900031;主水箱;Main tank;;2t SPCC;RAL 7021;600900031
600900032;主水箱蓋板(四);Cover;;2t SPCC;RAL 7021;600900032
600900033;主水箱蓋板(五);Cover;;;RAL 7021;600900033
600900034;主水箱蓋板(六);Cover;;;RAL 7021;600900034
600900035;導槽(一);Guiding slot;;;RAL9002;600900035
600900036;導槽(二);Guiding slot;;;RAL9002;600900036
600900037;擋水槽(一);Baffle;;2t SPCC;RAL 7021;600900037
600900038;擋水槽(二);Baffle;;2t SPCC;RAL 7021;600900038
600900039;主水箱排屑管;;;2t SPCC;RAL 7021;600900039
600900040;螺旋捲屑器護蓋(左);Cover;;2tSPCC;RAL 7021;600900040
600900041;螺旋捲屑器護蓋(右);Cover;;2tSPCC;RAL 7021;600900041
600900042;Y軸出貨固定架;Fixed;8tSPCC;;橘;600900042
600900043;Y軸出貨固定架;;;;;600900043
600900044;X軸出貨固定架;;;;;600900044
600900045;;;;;;600900045
600900046;;;;;;600900046
600900047;;;;;;600900047
600900048;;;;;;600900048
600900049;;;;;;600900049
600900050;;;;;;600900050
600900051;;;;;;600900051
600900052;;;;;;600900052
610000001;右護罩(加高150mm);;;;PN Cool Gray 1C 白灰;610000001
610000002;左右側門;;;;PN Cool Gray 1C 白灰;610000002
610000003;左護罩(加高150mm);;;;PN Cool Gray 1C 白灰;610000003
610000004;線槽蓋鈑(一);;;;PN Cool Gray 1C 白灰;610000004
610000005;線槽蓋鈑(二);;;;PN Cool Gray 1C 白灰;610000005
610000006;左右防屑鈑;;;;PN Cool Gray 1C 白灰;610000006
610000008;下門軌;;;;染黑;610000008
610000009;上軌道;;;;;610000009
610000011;刀庫罩;;;;PN Cool Gray 1C 白灰;610000011
610000012;刀庫罩上蓋;;;;PN Cool Gray 1C 白灰;610000012
6100-50-M8;十字型旋紐;Star knobs;TYPE A (銀記);2tSPCC;;6100-50-M8
610500001;刀庫下護蓋;Toolmagazine Cover;;;RAL 9002;610500001
6150059;皮帶輪;;;;染黑;6150059
615015;皮帶輪;;YTL-208;;;615015
615016;皮帶輪;;SKF A2-6 aC18 aC22;;染黑;615016
615059;皮帶輪;;YTL-208;;染黑;615059
615063;拉桿;;SKF數格A2-6;;;615063
615064;皮帶輪;;YTL-208;2tSPCC;;615064
615095;皮帶輪;;SKF A2-6 aC12 aC15;;染黑;615095
615301;拉桿;;數格A2-8;;;615301
615310;拉桿;;數格A2-6;;;615310
700900001;機械手連接板;;200*200*25;6061-T6;;700900001
700900002;滑台支架;;;SPCC;噴RAL 7021;700900002
700900003;吹氣支架;;;SPCC;RAL 9002;700900003
700900004;方型護管支架;;;SPCC;RAL 7021;700900004
700900005;人機操作箱;;;SPCC;RAL 7021;700900005
700900006;固定板;;;SPCC;RAL 7021;700900006
700900007;安全圍籬;;;SPCC;RAL 7021;700900007
700900008;左安全圍籬;;;SPCC;RAL 7021;700900008
700900009;配電底板;;;SPCC;RAL 7021;700900009
700900010;夾爪固定座;;70*80*12(6061-T6);6061-T6;;700900010
700900011;夾爪(%%c22~%%c24);;16*25*42.75;6061-T6;;700900011
700900012;夾爪(Φ20~夾爪Φ22);;25*17.15*42.75;6061-T6;;700900012
700900013;界面座;;80*80*12(6061-T6);6061-T6;;700900013
700900014;定位塊;;31.5Φ*10(6061-T6);6061-T6;;700900014
700900015;固定架;;;3T-SPCC;RAL 7021;700900015
700900016;料盤底板;;;8T-SPCC;;700900016
700900017;料盤上板;;;3T-SPCC;;700900017
700900018;六角螺絲樁;;六角10*34.5;S45C;;700900018
700900019;夾爪固定座;;120*75.1三件一組(6061);6061-T6;;700900019
700900020;定位塊;;31.5Φ*10(6061-T6);6061-T6;;700900020
700900021;夾爪;;21*14*40;S45C;;700900021
700900022;補強底板;;;14t-spcc;;700900022
700900023;夾爪(%%C23.6);;47*25*18;S45C;;700900023
700900024;檔料支架;;;4T-SUS304;;700900024
700900025;檔料桿;;25Φ*41/SUS304/;SUS304;;700900025
700900026;氣壓支架;;;2t-spcc;噴RAL 7002;700900026
700900027;內管;;51Φ*119;S45C;;700900027
700900028;管底;;40Φ*23;S45C;;700900028
700900029;推桿;;32Φ*33;S45C;;700900029
700900030;旋轉接頭固定座;;80Φ*105;6061-T6;;700900030
700900031;機械手連接板;;240*190*25;6061-T6;;700900031
700900032;夾爪;;63*45*12;S45C;;700900032
