料號;TAG3;TAG9;TAG10;TAG4;TAG8;TAG5
100000056C;美背鈑金一;Cover;;2t SPCC;RAL 7021;100000056C
100000057;美背鈑金-2;Cover;;;RAL 7021;100000057
100000057A;美背鈑金二;Cover;;2tSPCC;RAL 7021;100000057A
100000057B;美背鈑金二;Cover;;2t SPCC;RAL 7021;100000057B
100000058;美背鈑金-3;Cover;;;RAL 7021;100000058
100000059;側飾鈑;Cover;;;RAL 9002;100000059
100000059A;側飾鈑;Cover;;;RAL 9002;100000059A
100000059B;側飾鈑;Cover;;2t SPCC;RAL 9002;100000059B
100000060;接屑籃支架;Bracket;;;;100000060
100000060A;接屑籃支架;Bracket;;;;100000060A
100000061;接屑籃(深);;;;RAL7021;100000061
100000061A;接屑籃(深);Chip box;;;RAL7021;100000061A
100000062;接屑籃(淺);;;;;100000062
100000063;擋水固定鈑;;;;RAL 9002;100000063
100000064;擋水壓鈑;;;;RAL 9002;100000064
100000065;側飾鈑二;;;;RAL 9002;100000065
100000066;掛勾;;不鏽鋼2B;;不鏽鋼2B;100000066
100000067;纜線掛勾;;;;;100000067
100000068;纜線支架;Cable bracket;;;;100000068
100000069;Y軸伸縮護罩;Cover;;2tSPCC;;100000069
100000070;美背鈑金-1;Cover;;;;100000070
100000071;美背鈑金-2;Cover;;;;100000071
100000072;美背鈑金-3;Cover;;;;100000072
100000072A;美背鈑金三;Cover;;2t SPCC;RAL 7021;100000072A
100000073;左護罩(加高150);Left side cover;;2t SPCC;RAL 9002;100000073
100000073A;左護罩(加高150);Left side cover;;2t SPCC;;100000073A
100000073B;左護罩(加高150);Left side cover;;2t SPCC;RAL 9002;100000073B
100000073C;左護罩(加高150);Left side cover;;2t SPCC;RAL9002;100000073C
100000073D;左護罩(加高150);Left side cover;;2t SPCC;PN Cool Gray 1C;100000073D
100000073E;左護罩(加高150);Left side cover;;2t SPCC;PN Cool Gray 1C;100000073E
100000074;右護罩;Right side cover;;2t SPCC;RAL 9002;100000074
100000074A;右護罩(加高150);Right side cover;;2t SPCC;RAL 9002;100000074A
100000074B;右護罩(加高150);Right side cover;;2t SPCC;RAL 9002;100000074B
100000074C;右護罩(加高150);Right side cover;;2t SPCC;RAL9002;100000074C
100000074D;右護罩(加高150);Right side cover;;2t SPCC;PN Cool Gray 1C;100000074D
100000075;前門(加高150);;;;RAL 7021;100000075
100000075A;前門(加高150);;;;RAL 7021;100000075A
100000075B;前門(加高150);;;;RAL7021;100000075B
100000076;前門PC板;PC Plate;;;;100000076
100000077;前門壓板墊片;Door spacer;;;RAL 7021;100000077
100000078;側窗開關固定座;Switch seat;;;RAL 9002;100000078
100000079;美背鈑金-1(加高150);;;;RAL 7021;100000079
100000079A;美背鈑金一(加高150);Cover;;2t SPCC;RAL7021;100000079A
100000079B;美背鈑金一;Cover;;2t SPCC;RAL 7021;100000079B
100000080;美背鈑金-2(加高150);;;;RAL 7021;100000080
100000080A;美背鈑金二(加高150);Cover;;2tSPCC;RAL 7021;100000080A
100000080B;美背鈑金二(加高150);Cover;;2t SPCC;RAL 7021;100000080B
100000081;美背鈑金-3(加高150);;;;RAL 7021;100000081
100000081A;美背鈑金三;Cover;;2tSPCC;RAL 7021;100000081A
100000082;左護罩(側窗加大);Left side cover;;;RAL 9002;100000082
100000083;右護罩(側窗加大);Right side cover;;;RAL 9002;100000083
100000084;側窗;;;;RAL 9002;100000084
100000084A;側窗;;;;RAL 9002;100000084A
100000085;側窗壓鈑(側窗加大);Fixed;;;RAL 9002;100000085
100000086;美背鈑金-4;Cover;;;RAL 7021;100000086
100000087;左護罩側窗加大(加高150);;;;RAL 9002;100000087
100000088;右護罩側窗加大(加高150);Right side cover;;;RAL 9002;100000088
100000089;第四五軸線槽盒;;;;RAL 9002;100000089
100000090;操作箱;Operation box;;;RAL 7021;100000090
100000091;上軸承座;;;;染黑;100000091
100000092;後側窗;;;2t SPCC;RAL 7021;100000092
100000093;後側窗壓鈑;Cover;;2t SPCC;RAL 7021;100000093
100000094;左前飾板;;;2t SPCC;RAL 9002;100000094
100000094A;左前飾板;Front Cover;;2t SPCC;RAL 9002;100000094A
100000095;右前飾板;;;2t SPCC;RAL 9002;100000095
100000095A;右前飾板;Front Cover;;2t SPCC;RAL 9002;100000095A
100000096;擴充介面封蓋;Cover;;2t SPCC;RAL 7021;100000096
100000097;美背鈑金三(加高150);Cover;;2tSPCC;RAL 7021;100000097
100000098;上軸承座;Right side door;;4t SPCC;染黑;100000098
100000099;第四軸介面鈑;Cover;;2tSPCC;RAL 9002;100000099
100000100;前門;Front door;;2tSPCC;RAL7021;100000100
100000100A;前門;Front door;;2t SPCC;RAL 7021;100000100A
100000100B;前門;Front door;;2t SPCC;PN 2757C 藍;100000100B
100000101;第四軸介面鈑;Cover;;2t SPCC;RAL 9002;100000101
100000101A;第四軸介面鈑;Cover;;2t SPCC;RAL 9002;100000101A
100000102;第四軸介面鈑(氣壓煞車);Cover;;2t SPCC;RAL 9002;100000102
100000102A;第四軸介面鈑(氣壓煞車);Cover;;2t SPCC;RAL 9002;100000102A
100000102B;第四軸介面鈑(氣壓煞車);Cover;;2t SPCC;RAL9002;100000102B
100000103;第四軸介面鈑(油壓煞車);;;;RAL 9002;100000103
100000103A;第四軸擴充介面鈑;Cover;;2t SPCC;RAL 9002;100000103A
100000104;操作箱;Operation box ( M720 15";;2tSPCC;RAL7021;100000104
100000105;操作箱面板;Opration box plate;;2t 鋁板;;100000105
100000106;飾鈑(一);Cover;;2tSPCC;RAL7021;100000106
100000107;飾鈑(二);Cover;;2tSPCC;RAL7021;100000107
100000108;氣壓缸右支架;Fixed;;2tSPCC;RAL 9002;100000108
100000109;氣壓缸左支架;;;;;100000109
100000110;自動門前門支架;Fixed;;2t SPCC;RAL 9002;100000110
100000111;氣壓缸原點感應支架;;;;;100000111
100000112;氣壓缸原點感應器固定架;;;;;100000112
100000113;氣壓缸遮蓋;;;;;100000113
100000114;感應器調整鈑;Bracket;單向: 46*70。;5t SPCC;RAL 7021;100000114
100000115;左護罩(HITACHI);;;;;100000115
100000116;右護罩(HITACHI);;;;;100000116
100000117;捲屑器壓鈑;;;;;100000117
100000118;捲屑器防護網;;;;;100000118
100000119;側沖屑介面遮蓋;;;;;100000119
100000120;刀庫操作盒蓋鈑;;;;;100000120
100000121;箱架;;;;;100000121
100000122;美背鈑金一;;;;;100000122
100000123;保養元件固定鈑;;;;;100000123
100000124;前門(HITACHI);;;;;100000124
100000125;防夾固定飾鈑;;;;;100000125
100000126;防夾拖鏈固定架;;;;;100000126
100000127;副操作盒(HITACHI);;;;RAL 9002;100000127
100000128;副操作盒封蓋(HITACHI);;;;RAL 9002;100000128
100000128A;副操作盒封蓋(HITACHI);Cover;;;RAL 9002;100000128A
100000129;副操作盒支架;;;;;100000129
100000130;箱架下飾鈑;;;;;100000130
100000131;操作箱(HITACHI 8.4);;;;;100000131
100000132;操作箱(HITACHI 10.4);;;;;100000132
100000133;跑線遮蓋一;;;;;100000133
100000133A;跑線遮蓋;Cover;;;RAL9002;100000133A
100000134;跑線遮蓋二;;;;;100000134
100000135;左護罩(HITACHI);;;;;100000135
100000136;右護罩(HITACHI);;;;;100000136
100000137;左前門(HITACHI);;;;;100000137
100000138;右前門(HITACHI);;;;;100000138
100000139;前門限位鈑;;;;;100000139
100000140;左前門上防屑鈑(HITACHI);;;;;100000140
100000141;左前門防屑鈑(HITACHI);;;;;100000141
100000142;右前門上防屑鈑(HITACHI);;;;;100000142
100000143;右前門防屑鈑(HITACHI);;;;;100000143
100000144;操作箱(Fanuc8.4");Operation box;;2t SPCC;RAL 7021;100000144
100000144A;操作箱(Fanuc8.4");Operation box;;2t SPCC;;100000144A
100000145;門擋固定座;Latches seat;;2t SPCC;RAL 7021;100000145
100000146;上橫桿(HITACHI);;;;;100000146
100000147;上門軌(HITACHI);;;;;100000147
100000148;下門軌(HITACHI);;;;;100000148
100000149;自動門拖臂(HITACHI);;;;;100000149
100000150;氣壓缸行程碰塊(HITACHI);;;;;100000150
100000151;拖鏈支架(HITACHI);;;;;100000151
100000152;拖鏈固定架(HITACHI);;;;;100000152
100000153;左拖鏈遮蓋(HITACHI);;;;;100000153
100000154;右拖鏈遮蓋(HITACHI);;;;;100000154
100000155;操作箱8.4(HITACHI);;;;;100000155
100000156;操作箱10.4(HITACHI);;;;RAL 7021;100000156
100000157;左前門防夾固定鈑;;;;;100000157
100000158;右前門防夾固定鈑;;;;;100000158
100000159;左氣壓缸遮蓋;;;;;100000159
100000160;右氣壓缸遮蓋;;;;;100000160
100000161;前門壓克力(HITACHI);;;;;100000161
100000162;前門壓克力壓鈑(HITACHI);;;;;100000162
100000163;前門刮屑板;;33*25*4t;4t黑色 NBR (橡膠類耐油板);;100000163
100000164;上軸承座(HITACHI);;;;;100000164
100000165;捲屑器防護網(HITACHI);;;;;100000165
100000166;側沖介面遮蓋;;;;;100000166
100000167;左側窗(HITACHI);;;;;100000167
100000168;右側窗(HITACHI);;;;;100000168
100000169;上護罩(HITACHI);;;;;100000169
100000170;上護罩Dynamic(HITACHI);;;;RAL 9002;100000170
100000171;第四軸介面鈑(HITACHI);;;;;100000171
100000172;纜線介面鈑(HITACHI);;;;;100000172
100000173;線槽蓋鈑(HITACHI);;;;;100000173
100000174;操作箱蓋鈑(HITACHI);;;;;100000174
100000175;轉接介面鈑(HITACHI);;;;;100000175
100000176;跑線遮蓋一(HITACHI);;;;;100000176
100000177;感應器固定鈑(HITACHI);;;;;100000177
100000178;感應器遮蓋(HITACHI);;;;;100000178
100000179;上飾鈑(HITACHI);;;;;100000179
100000180;副操作盒支架(HITACHI);;;;RAL 9002;100000180
100000181;後排介面封蓋(HITACHI);;;;;100000181
100000182;美背鈑金二(HITACHI);;;;;100000182
100000183;美背鈑金三(HITACHI);;;;;100000183
100000184;美背鈑金三(HITACHI);Cover;;2t SPCC;RAL 7021;100000184
100000185;前門壓克力;Acrylic window;;;;100000185
100000186;前導水踏鈑(HITACHI);;;1.6t 不鏽鋼;;100000186
100000187;地面油槽(HITACHI);;;;RAL 7021;100000187
100000188;副操作盒二(HITACHI);;;;RAL 9002;100000188
100000189;副操作盒封蓋二(HITACHI);;;;RAL 9002;100000189
100000190;操作箱(Siemens 15");Operation box;;2t SPCC;RAL 7021;100000190
100000190A;操作箱(Siemens 15");Operation box;;2t SPCC;;100000190A
100000191;氣壓缸遮蓋(HITACHI);;;;RAL 9002;100000191
100000192;側窗(HITACHI);;;;RAL 9002;100000192
100000193;熱感知器固定架(HITACHI);;;;RAL 9002;100000193
100000194;光學尺吹氣過濾介面板;Cover;;2t SPCC;RAL 7021;100000194
100000195;保養元件固定鈑Dynamic(HITACHI);;;;;100000195
100000196;第四軸介面鈑(Siemens);Cover;;2t SPCC;噴漆 RAL 9002;100000196
100000197;前踏鈑(HITACHI);Cover;;1.6t 不鏽鋼;;100000197
100000198;切削油霧介面鈑;Cover;;2t SPCC;RAL 7021;100000198
100000199;美背鈑金五;Cover;;2t SPCC;RAL 7021;100000199
100000200;美背鈑金六;Cover;;3t SPCC;RAL 7021;100000200
100000201;介面鈑(Fanuc8.4" Vertical type);Interface plate;;2t SPCC;RAL 7021;100000201
100000202;警示燈介面封蓋;Cover;;2t SPCC;RAL 9002;100000202
100000203;美背鈑金五(加高150);Cover;;2t SPCC;RAL 7021;100000203
100000204;美背鈑金六(加高150);Cover;;3t SPCC;RAL 7021;100000204
100000205;操作箱;Operation box;;2t SPCC;RAL 7021;100000205
100000206;介面鈑( Fanuc 8.4");Interface plate;;2t SPCC;RAL 7021;100000206
100000207;介面鈑( Mitsubishi 8.4" M80);Interface plate;;2t SPCC;RAL 7021;100000207
100000208;介面鈑( Fanuc 10.4");;;;RAL7021;100000208
100000209;介面鈑(Mitsubishi10.4");;;;;100000209
100000210;介面鈑( Fanuc 15");;;;RAL 7021;100000210
